EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,-39.90480723452659,2,366,1019.0908312797546,366000,0.5645521283149719,4.158172,0.007155955,0.0,-0.01032858,0.07144085
1000.0,-39.64021631640005,2,368,1024.611655473709,368000,0.7017001807689667,4.152445,0.012236187,0.0,-0.014742769,0.040230967
1000.0,-39.57782374107115,2,370,1030.172324180603,370000,0.879118837416172,4.1213145,0.010011451,0.0,-0.009842817,0.06303058
1000.0,-39.32657546203445,2,372,1035.701857805252,372000,0.5982810258865356,4.0717235,0.009293246,0.0,-0.012666885,0.07183766
1000.0,-38.7572435794978,2,374,1041.2796096801758,374000,0.7550945430994034,4.035242,0.011886604,0.0,-0.011067772,0.062055487
1000.0,-38.62824242866466,2,376,1046.8480474948883,376000,0.372907817363739,4.051836,0.0161592,0.0,-0.010501589,0.057111282
1000.0,-38.107128280927405,2,378,1052.3683035373688,378000,0.9679111279547215,4.06375,0.011386174,0.0,-0.011778091,0.036555547
1000.0,-37.79387183041487,2,380,1057.83558011055,380000,0.8921857848763466,4.0298367,0.014807208,0.0,-0.008037253,0.04803786
1000.0,-37.16115926700183,2,382,1063.4139077663422,382000,0.8552286624908447,4.0328274,0.0137554,0.0,-0.016462907,0.03331903
1000.0,-36.67344198215015,3,385,1069.1725912094116,385000,0.8236939609050751,4.005241,0.008306636,0.0,-0.0154750915,0.031892505
1000.0,-36.446655090964086,2,387,1074.696748971939,387000,0.8980681151151657,4.001402,0.018030692,0.0,-0.01012562,0.038018957
1000.0,-36.436419060415,2,389,1080.214916229248,389000,0.718982994556427,3.968559,0.005786383,0.0,-0.0072034798,0.027882272
1000.0,-36.09952455453384,2,391,1085.7615005970001,391000,0.916438102722168,4.0074,0.011053031,0.0,-0.011121249,0.025365502
1000.0,-35.748845363516786,2,393,1091.2785453796387,393000,0.830062672495842,4.0231533,0.007761322,0.0,-0.011059999,0.030698897
1000.0,-35.64691132446352,2,395,1096.7562415599823,395000,0.8774679973721504,3.9453793,0.011798635,0.0,-0.01506606,0.032601137
1000.0,-35.33252444800884,2,397,1102.3118116855621,397000,0.9371475875377655,3.9187467,0.0063019707,0.0,-0.012346709,0.015846204
1000.0,-35.25899882524634,2,399,1107.8776886463165,399000,0.7138027548789978,3.9013577,0.010772323,0.0,-0.013735641,0.027844764
1000.0,-34.78472327181816,2,401,1113.358826160431,401000,0.4836180806159973,3.9208524,0.010071426,0.0,-0.012826032,0.023593344
1000.0,-34.411170637166315,2,403,1118.9657061100006,403000,0.8768867254257202,3.9224782,0.014912553,0.0,-0.014403181,0.020922307
1000.0,-34.455711174324264,2,405,1124.4837210178375,405000,0.6928054690361023,3.8836918,0.014851788,0.0,-0.008373624,0.03963779
1000.0,-33.863985816496935,2,407,1130.0521111488342,407000,0.7030529379844666,3.8706288,0.010360313,0.0,-0.0104737105,0.033853162
1000.0,-33.95813720720012,2,409,1135.5585644245148,409000,0.8112189620733261,3.8757932,0.006413311,0.0,-0.009563103,0.051009472
